year,city,country,avg_temp
1959,Ho Chi Minh City,Vietnam,27.73
1960,Ho Chi Minh City,Vietnam,27.69
1961,Ho Chi Minh City,Vietnam,27.57
1962,Ho Chi Minh City,Vietnam,27.39
1963,Ho Chi Minh City,Vietnam,27.22
1964,Ho Chi Minh City,Vietnam,27.48
1965,Ho Chi Minh City,Vietnam,27.37
1966,Ho Chi Minh City,Vietnam,27.89
1967,Ho Chi Minh City,Vietnam,27.34
1968,Ho Chi Minh City,Vietnam,27.41
1969,Ho Chi Minh City,Vietnam,27.82
1970,Ho Chi Minh City,Vietnam,27.37
1971,Ho Chi Minh City,Vietnam,27.07
1972,Ho Chi Minh City,Vietnam,27.59
1973,Ho Chi Minh City,Vietnam,27.77
1974,Ho Chi Minh City,Vietnam,27.42
1975,Ho Chi Minh City,Vietnam,27.44
1976,Ho Chi Minh City,Vietnam,27.27
1977,Ho Chi Minh City,Vietnam,27.41
1978,Ho Chi Minh City,Vietnam,27.46
1979,Ho Chi Minh City,Vietnam,27.59
1980,Ho Chi Minh City,Vietnam,27.54
1981,Ho Chi Minh City,Vietnam,27.71
1982,Ho Chi Minh City,Vietnam,27.55
1983,Ho Chi Minh City,Vietnam,27.77
1984,Ho Chi Minh City,Vietnam,27.43
1985,Ho Chi Minh City,Vietnam,27.64
1986,Ho Chi Minh City,Vietnam,27.47
1987,Ho Chi Minh City,Vietnam,28.02
1988,Ho Chi Minh City,Vietnam,27.79
1989,Ho Chi Minh City,Vietnam,27.52
1990,Ho Chi Minh City,Vietnam,27.88
1991,Ho Chi Minh City,Vietnam,27.71
1992,Ho Chi Minh City,Vietnam,27.64
1993,Ho Chi Minh City,Vietnam,27.50
1994,Ho Chi Minh City,Vietnam,27.60
1995,Ho Chi Minh City,Vietnam,27.65
1996,Ho Chi Minh City,Vietnam,27.43
1997,Ho Chi Minh City,Vietnam,27.80
1998,Ho Chi Minh City,Vietnam,28.39
1999,Ho Chi Minh City,Vietnam,27.45
2000,Ho Chi Minh City,Vietnam,27.59
2001,Ho Chi Minh City,Vietnam,27.83
2002,Ho Chi Minh City,Vietnam,28.06
2003,Ho Chi Minh City,Vietnam,27.83
2004,Ho Chi Minh City,Vietnam,27.69
2005,Ho Chi Minh City,Vietnam,27.88
2006,Ho Chi Minh City,Vietnam,28.04
2007,Ho Chi Minh City,Vietnam,27.87
2008,Ho Chi Minh City,Vietnam,27.61
2009,Ho Chi Minh City,Vietnam,27.85
2010,Ho Chi Minh City,Vietnam,28.28
2011,Ho Chi Minh City,Vietnam,27.68
2012,Ho Chi Minh City,Vietnam,28.25
2013,Ho Chi Minh City,Vietnam,28.46
